# Wordlist

# DATA
ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
4826	u s a	3790	louse	Ayacucho	usa	piojo	u s a	usa			soto1976	Quechua
4827	u s a	3790	louse	Bobonaza	usa	piojo	u s a	usa			orrwrisley1981	Quechua
4828	u s a	3790	louse	Cacra-Hongos	usa	piojo	u s a	usa			shimelman2017	Quechua
4829	u s a	3790	louse	Chachapoyas	usa	piojo	u s a	usa			taylor2006	Quechua
4830	u w a	3790	louse	Chacpar	uwa	piojo	u w a	uwa			heggarty2005	Quechua
4831	u s a	3790	louse	Chetilla	usa	piojo	u s a	usa			heggarty2005	Quechua
4832	s a m i	3792	louse	Chipaya	sami	piojo	s a m i	sami			heggarty2005	Uru-Chipaya
4833	u s a	3790	louse	Curva	usa	piojo	u s a	usa			heggarty2005	Quechua
4834	u s a	3790	louse	Cuzco	usa	piojo	u s a	usa			heggarty2005	Quechua
4835	u s a	3790	louse	CuzquenoAntiguo	vça	piojo	u s a	vça			holguin1608	Quechua
4836	u s a	3790	louse	Huallaga	usa	piojo	u s a	usa			heggarty2005	Quechua
4837	u s a	3790	louse	Huanca	usa	piojo	u s a	usa			cerron2018	Quechua
4839	l a pʼ a	3793	louse	Huancane	lap'a	piojo	l a pʼ a	lap'a			heggarty2005	Aymara
4840	u s a	3790	louse	Huangascar	usa	piojo	u s a	usa			shimelman2017	Quechua
4841	u x a	3790	louse	HuarazHuailas	uha	piojo	u x a	uha			parkerchavez1976	Quechua
4842	u s a	3790	louse	Imbabura	usa	piojo	u s a	usa		head louse	gomez2009	Quechua
4843	l i s u	22	louse	Inkawasi	lisu	piojo	l i s u	lisu, lišu			heggarty2005	Quechua
4844	l i ʃ u	22	louse	Inkawasi	lišu	piojo	l i ʃ u	lisu, lišu			heggarty2005	Quechua
4845	s a: m i	3792	louse	Iruhito	sá:mi	piojo	s a: m i	sá:mi			cerron2016	Uru-Chipaya
4846	n a pʼ a	3793	louse	Jaqaru	nap'a	piojo	n a pʼ a	nap'a			heggarty2005	Aymara
4847	n a pʼ a	3793	louse	Kawki	nap'a	piojo	n a pʼ a	nap'a			heggarty2005	Aymara
4848	u s a	3790	louse	Lamas	usa	piojo	u s a	usa			taylor2006	Quechua
4849	u s a	3790	louse	Laraos	usa	piojo	u s a	usa			heggarty2005	Quechua
4850	u s a	3790	louse	Lincha-Tana	usa	piojo	u s a	usa			shimelman2017	Quechua
4851	u s a	3790	louse	Maragua	usa	piojo	u s a	usa			heggarty2005	Quechua
4852	u s a	3790	louse	Napo	usa	piojo	u s a	usa			orrwrisley1981	Quechua
4853	u w a	3790	louse	Pacaraos	uwa	piojo	u w a	uwa			adelaar1982	Quechua
4854	u s a	3790	louse	Pastaza	usa	piojo	u s a	usa			landerman1973	Quechua
4855	u s a	3790	louse	Pocona	usa	piojo	u s a	usa			heggarty2005	Quechua
4856	l a pʼ a	3793	louse	Puki	lap'a	piojo	l a pʼ a	lap'a			heggarty2005	Aymara
4857	u s a	3790	louse	Puno	usa	piojo	u s a	usa			heggarty2005	Quechua
4858	u s a	3790	louse	Putumayo	usa	piojo	u s a	usa			tandioy1978	Quechua
4859	u s a	3790	louse	SanPedro	usa	piojo	u s a	usa			shimelman2017	Quechua
4860	u s a	3790	louse	Santiagueno	usa	piojo	u s a	usa			juanatey2021	Quechua
4861	u s a	3790	louse	SantoTomas	vʃʃa	piojo	u s a	vʃʃa, moti, ocça			santotomas1951	Quechua
4862	m o t i	3795	louse	SantoTomas	moti	piojo	m o t i	vʃʃa, moti, ocça			santotomas1951	Quechua
4863	o k s a	9	louse	SantoTomas	ocça	piojo	o k s a	vʃʃa, moti, ocça			santotomas1951	Quechua
4864	u s a	3790	louse	Serena	usa	piojo	u s a	usa			heggarty2005	Quechua
4865	l a pʼ a	3793	louse	Sullkatiti	lap'a	piojo	l a pʼ a	lap'a			heggarty2005	Aymara
4866	u s a	3790	louse	Taquile	usa	piojo	u s a	usa			heggarty2005	Quechua
4867	u w a	3790	louse	Tarma	uwa	piojo	u w a	uwa		usa: larvae of louse	adelaar1977	Quechua
4868	u s a	3790	louse	Troje	usa	piojo	u s a	usa			heggarty2005	Quechua
4869	- - - s a n	24	louse	Tsimu	sán	piojo	s a n	sán		ish en superscript	cerron2016	Uru-Chipaya
4870	u w a	3790	louse	Wari	uwa	piojo	u w a	uwa			parkerchavez1976	Quechua
4871	u s a	3790	louse	Yanac	usa	piojo	u s a	usa			heggarty2005	Quechua
7461	u s a	3790	louse	Azuay	usa	piojo	u s a	usa				
7643	u s a	3790	louse	Jauja	usa		u s a	usa				
#
5114	k a r i	3842	man SW adult, male	Anonimo	cari	varón, hombre	k a r i	cari			valera1586	Quechua
5115	q a ɾ i	3842	man SW adult, male	Apuri	qari	varón, hombre	q a ɾ i	qari			shimelman2017	Quechua
5116	q a r i	3842	man SW adult, male	Apurimac	qari	varón, hombre	q a r i	qari			camacho2007	Quechua
5117	χ a ɾ i	3842	man SW adult, male	Arma	qari	varón, hombre	χ a ɾ i	qari			galvez2003	Quechua
5118	χ a r i	3842	man SW adult, male	Atalla	χari	varón, hombre	χ a r i	χari			heggarty2005	Quechua
5119	χ a ɾ i	3842	man SW adult, male	Ayacucho	qari	varón, hombre	χ a ɾ i	qari			soto1976	Quechua
5120	k a r i	3842	man SW adult, male	Bobonaza	cari	varón, hombre	k a r i	cari			orrwrisley1981	Quechua
5121	q a l i	3842	man SW adult, male	Cacra-Hongos	qali	varón, hombre	q a l i	qali			shimelman2017	Quechua
5122	- u dʑ k u	3843	man SW adult, male	Chachapoyas	ullku	varón, hombre	u dʑ k u	ullku			taylor2006	Quechua
5123	- u ʎ ʁ u	3843	man SW adult, male	Chacpar	uλγu	varón, hombre	u ʎ ʁ u	uλγu			heggarty2005	Quechua
5124	- u ʎ ʁ u	3843	man SW adult, male	Chetilla	udžγu	varón, hombre	u ʎ ʁ u	udž(ə)γu			heggarty2005	Quechua
5125	k e - - r - o	25	man SW adult, male	Chipaya	kero	varón, hombre	k e r o	kero			heggarty2005	Uru-Chipaya
5126	qʰ a r i	3842	man SW adult, male	Curva	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5127	qʰ a r i	3842	man SW adult, male	Cuzco	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5128	χ a r i	3842	man SW adult, male	CuzquenoAntiguo	ccari	varón, hombre	χ a r i	ccari			holguin1608	Quechua
5129	- u ʎ q u	3843	man SW adult, male	Huallaga	uλqu	varón, hombre	u ʎ q u	uλqu			heggarty2005	Quechua
5130	k a ɾ i	3842	man SW adult, male	Huanca	kari	varón, hombre	k a ɾ i	kari			cerron2018	Quechua
5131	tʃ a tʃ a	3845	man SW adult, male	Huancane	čača	varón, hombre	tʃ a tʃ a	čača			heggarty2005	Aymara
5132	q a ɾ i	3842	man SW adult, male	Huangascar	qari	varón, hombre	q a ɾ i	qari			shimelman2017	Quechua
5133	h o m b ɾ - e	27	man SW adult, male	HuarazHuailas	hombre	varón, hombre	h o m b ɾ e	hombre	esp		parkerchavez1976	Quechua
5134	k a ɾ i	3842	man SW adult, male	Imbabura	kari	varón, hombre	k a ɾ i	kari			gomez2009	Quechua
5135	- u ʒ ɢ u	3843	man SW adult, male	Inkawasi	užġu	varón, hombre	u ʒ ɢ u	užġu			heggarty2005	Quechua
5136	s o: ɲ i	3846	man SW adult, male	Iruhito	só:ñi	varón, hombre	s o: ɲ i	só:ñi			cerron2016	Uru-Chipaya
5137	k a r m a	28	man SW adult, male	Jaqaru	karma	varón, hombre	k a r m a	karma(.xa)			heggarty2005	Aymara
5138	k a r m a	28	man SW adult, male	Kawki	karma	varón, hombre	k a r m a	karma(.xa)			heggarty2005	Aymara
5139	- u dʑ k u	3843	man SW adult, male	Lamas	ullku	varón, hombre	u dʑ k u	ullku			taylor2006	Quechua
5140	q a r i	3842	man SW adult, male	Laraos	qari	varón, hombre	q a r i	qari			heggarty2005	Quechua
5141	q a ɾ i	3842	man SW adult, male	Lincha-Tana	qari	varón, hombre	q a ɾ i	qari			shimelman2017	Quechua
5142	qʰ a r i	3842	man SW adult, male	Maragua	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5143	k a r i	3842	man SW adult, male	Napo	cari	varón, hombre	k a r i	cari			orrwrisley1981	Quechua
5144	- u l χ o	3843	man SW adult, male	Pacaraos	ulqu	varón, hombre	u l χ o	ulqu			adelaar1982	Quechua
5145	k a r i	3842	man SW adult, male	Pastaza	cari	varón, hombre	k a r i	cari			landerman1973	Quechua
5146	qʰ a r i	3842	man SW adult, male	Pocona	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5147	tʃ a tʃ a	3845	man SW adult, male	Puki	čača	varón, hombre	tʃ a tʃ a	čača			heggarty2005	Aymara
5148	qʰ a r i	3842	man SW adult, male	Puno	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5149	k a r i	3842	man SW adult, male	Putumayo	cari	varón, hombre	k a r i	cari			tandioy1978	Quechua
5150	- o ʎ q u	3843	man SW adult, male	Raimondi	ollqu	varón, hombre	o ʎ q u	ollqu			parkerchavez1976	Quechua
5151	q a ɾ i	3842	man SW adult, male	SanPedro	qari	varón, hombre	q a ɾ i	qari			shimelman2017	Quechua
5152	q a ɾ i	3842	man SW adult, male	Santiagueno	qari	varón, hombre	q a ɾ i	qari			juanatey2021	Quechua
5153	k a r i	3842	man SW adult, male	SantoTomas	cari	varón, hombre	k a r i	cari, hurco			santotomas1951	Quechua
5154	h u r k o	3843	man SW adult, male	SantoTomas	hurco	varón, hombre	h u r k o	cari, hurco			santotomas1951	Quechua
5155	k a r i	3842	man SW adult, male	Serena	kari	varón, hombre	k a r i	kari			heggarty2005	Quechua
5156	tʃ a tʃ a	3845	man SW adult, male	Sullkatiti	čača	varón, hombre	tʃ a tʃ a	čača			heggarty2005	Aymara
5157	qʰ a r i	3842	man SW adult, male	Taquile	qhari	varón, hombre	qʰ a r i	qhari			heggarty2005	Quechua
5158	- o l χ u	3843	man SW adult, male	Tarma	ulxu	varón, hombre	o l χ u	ulxu			adelaar1977	Quechua
5159	kʰ a r i	3842	man SW adult, male	Troje	khari	varón, hombre	kʰ a r i	khari			heggarty2005	Quechua
5160	s u: n e:	3846	man SW adult, male	Tsimu	sú:ne:	varón, hombre	s u: n e:	sú:ne:			cerron2016	Uru-Chipaya
5161	- o ʎ q u	3843	man SW adult, male	Wari	ollqu	varón, hombre	o ʎ q u	ollqu			parkerchavez1976	Quechua
5162	- u ʎ q u	3843	man SW adult, male	Yanac	uλqu	varón, hombre	u ʎ q u	uλqu			heggarty2005	Quechua
7467	k a ɾ i	3842	man SW adult, male	Azuay	cari	varón, hombre	k a ɾ i	cari				
7645	- u ʎ ʔ u	3843	man SW adult, male	Jauja	ullqu		u ʎ ʔ u	ullqu				
#
5068	r u n a	3892	man SW person	Anonimo	runa	persona, ser humano	r u n a	runa			valera1586	Quechua
5069	ɾ u n a	3892	man SW person	Apuri	runa	persona, ser humano	ɾ u n a	runa			shimelman2017	Quechua
5070	r u n a	3892	man SW person	Apurimac	runa	persona, ser humano	r u n a	runa			camacho2007	Quechua
5071	ɾ u n a	3892	man SW person	Arma	runa	persona, ser humano	ɾ u n a	runa			galvez2003	Quechua
5072	r u n a	3892	man SW person	Atalla	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5073	ɾ u n a	3892	man SW person	Ayacucho	runa	persona, ser humano	ɾ u n a	runa			soto1976	Quechua
5074	r u n a	3892	man SW person	Bobonaza	runa	persona, ser humano	r u n a	runa			orrwrisley1981	Quechua
5075	r u n a	3892	man SW person	Chachapoyas	runa	persona, ser humano	r u n a	runa			taylor2006	Quechua
5076	r u n a	3892	man SW person	Chacpar	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5077	r u n a	3892	man SW person	Chetilla	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5078	z h o ɲ i	3893	man SW person	Chipaya	zhoñi	persona, ser humano	z h o ɲ i	zhoñi			heggarty2005	Uru-Chipaya
5079	r u n a	3892	man SW person	Curva	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5080	r u n a	3892	man SW person	Cuzco	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5081	r u n a	3892	man SW person	CuzquenoAntiguo	runa	persona, ser humano	r u n a	runa			holguin1608	Quechua
5082	r u n a	3892	man SW person	Huallaga	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5083	n u n a	3892	man SW person	Huanca	nuna	persona, ser humano	n u n a	nuna			cerron2018	Quechua
5086	h a q i	3894	man SW person	Huancane	haqi	persona, ser humano	h a q i	haqi			heggarty2005	Aymara
5087	ɾ u n a	3892	man SW person	Huangascar	runa	persona, ser humano	ɾ u n a	runa			shimelman2017	Quechua
5088	ɲ u ɲ a	3892	man SW person	HuarazHuailas	nuna	persona, ser humano	ɲ u ɲ a	nuna			parkerchavez1976	Quechua
5089	x i n t i	3895	man SW person	Imbabura	jinti	persona, ser humano	x i n t i	jinti			gomez2009	Quechua
5090	r u n a	3892	man SW person	Inkawasi	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5091	h a q i	3894	man SW person	Jaqaru	haqi	persona, ser humano	h a q i	haqi			heggarty2005	Aymara
5092	h a q i	3894	man SW person	Kawki	haqi	persona, ser humano	h a q i	haqi			heggarty2005	Aymara
5093	r u n a	3892	man SW person	Lamas	runa	persona, ser humano	r u n a	runa			taylor2006	Quechua
5094	r u n a	3892	man SW person	Laraos	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5095	l u n a	3892	man SW person	Lincha-Tana	runa	persona, ser humano	l u n a	runa			shimelman2017	Quechua
5096	r u n a	3892	man SW person	Maragua	runa	persona, ser humano	r u n a	runa, řuna			heggarty2005	Quechua
5097	r̝ u n a	3892	man SW person	Maragua	řuna	persona, ser humano	r̝ u n a	runa, řuna			heggarty2005	Quechua
5098	r u n a	3892	man SW person	Napo	runa	persona, ser humano	r u n a	runa			orrwrisley1981	Quechua
5099	ɾ u n a	3892	man SW person	Pacaraos	runa	persona, ser humano	ɾ u n a	runa			adelaar1982	Quechua
5100	ɾ u n a	3892	man SW person	Pastaza	runa	persona, ser humano	ɾ u n a	runa			landerman1973	Quechua
5101	r̝ u n a	3892	man SW person	Pocona	řuna	persona, ser humano	r̝ u n a	řuna			heggarty2005	Quechua
5102	h a q i	3894	man SW person	Puki	haqi	persona, ser humano	h a q i	haqi			heggarty2005	Aymara
5103	r u n a	3892	man SW person	Puno	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5104	r u n a	3892	man SW person	Putumayo	runa	persona, ser humano	r u n a	runa			tandioy1978	Quechua
5105	ɲ u ɲ a	3892	man SW person	Raimondi	nuna	persona, ser humano	ɲ u ɲ a	nuna			parkerchavez1976	Quechua
5106	ɾ u n a	3892	man SW person	SanPedro	runa	persona, ser humano	ɾ u n a	runa			shimelman2017	Quechua
5107	r u n a	3892	man SW person	SantoTomas	runa	persona, ser humano	r u n a	runa			santotomas1951	Quechua
5108	r u n a	3892	man SW person	Serena	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5109	h a q i	3894	man SW person	Sullkatiti	haqi	persona, ser humano	h a q i	haqi			heggarty2005	Aymara
5110	r u n a	3892	man SW person	Taquile	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
5111	n u n a	3892	man SW person	Tarma	nuna	persona, ser humano	n u n a	nuna			adelaar1977	Quechua
5112	r̝ u n a	3892	man SW person	Troje	řuna	persona, ser humano	r̝ u n a	řuna			heggarty2005	Quechua
5113	r u n a	3892	man SW person	Yanac	runa	persona, ser humano	r u n a	runa			heggarty2005	Quechua
7466	ʃ u g	4783 3892	man SW person	Azuay	shug runa	persona, ser humano	ʃ u g ɾ u n a	shug runa				
7644	n u n a	3892	man SW person	Jauja	nuna		n u n a	nuna				
#
699	a tʃ - k a	3940	many	Apuri	achka	mucho(s)!!!, harto	a tʃ k a	achka			shimelman2017	Quechua
701	a s - k a	3940	many	Apurimac	aska	mucho(s)!!!, harto	a s k a	aska			camacho2007	Quechua
702	n i s j u	3947	many	Apurimac	nisyu	mucho(s)!!!, harto	n i s j u	nisyu			camacho2007	Quechua
703	a tʃ - k a	3940	many	Arma	achka	mucho(s)!!!, harto	a tʃ k a	achka			galvez2003	Quechua
704	a tʃ - k a	3940	many	Atalla	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
705	a tʃ - k a	3940	many	Ayacucho	achka	mucho(s)!!!, harto	a tʃ k a	achka			soto1976	Quechua
706	a ʃ - k a	3940	many	Bobonaza	ashca	mucho(s)!!!, harto	a ʃ k a	ashca			orrwrisley1981	Quechua
707	a tʃ - k a	3940	many	Cacra-Hongos	achka	mucho(s)!!!, harto	a tʃ k a	achka			shimelman2017	Quechua
708	a ts - k a	3940	many	Chacpar	atska	mucho(s)!!!, harto	a ts k a	atska			heggarty2005	Quechua
709	a tʃ - k a	3940	many	Chetilla	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
710	w a k tʃ i	3941	many	Chipaya	wakchi	mucho(s)!!!, harto	w a k tʃ i	wakchi; loki; muspa			heggarty2005	Uru-Chipaya
711	l o k i -	231	many	Chipaya	loki	mucho(s)!!!, harto	l o k i	wakchi; loki; muspa			heggarty2005	Uru-Chipaya
712	m u s p a	3948	many	Chipaya	muspa	mucho(s)!!!, harto	m u s p a	wakchi; loki; muspa			heggarty2005	Uru-Chipaya
713	a tʃ - kʰ a	3940	many	Curva	ačkha	mucho(s)!!!, harto	a tʃ kʰ a	ačkha			heggarty2005	Quechua
714	a s - kʰ a	3940	many	Cuzco	askha	mucho(s)!!!, harto	a s kʰ a	askha			heggarty2005	Quechua
715	a tʃ - k a	3940	many	CuzquenoAntiguo	achca	mucho(s)!!!, harto	a tʃ k a	achca, ancha			holguin1608	Quechua
717	a tʃ - k a	3940	many	Huallaga	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
722	a tʃ - k a	3940	many	Huanca	achka	mucho(s)!!!, harto	a tʃ k a	achka		(repleto)		Quechua
723	s i n t i + n i	109	many	Huancane	sinti.ni	mucho(s)!!!, harto	s i n t i + n i	sinti.ni			heggarty2005	Aymara
724	a tʃ - k a	3940	many	Huangascar	achka	mucho(s)!!!, harto	a tʃ k a	achka			shimelman2017	Quechua
725	f e j u p a	112	many	HuarazHuailas	feyupa	mucho(s)!!!, harto	f e j u p a	feyupa			parkerchavez1976	Quechua
726	a tʃ - k a	3940	many	Imbabura	achka	mucho(s)!!!, harto	a tʃ k a	achka			gomez2009	Quechua
727	a tʃ - k a	3940	many	Inkawasi	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
728	a ʈʂ h i	113	many	Jaqaru	aĉhi	mucho(s)!!!, harto	a ʈʂ h i	aĉhi			heggarty2005	Aymara
729	a ʈʂ - i	113	many	Kawki	aĉi	mucho(s)!!!, harto	a ʈʂ i	aĉi			heggarty2005	Aymara
730	s u k a + m a n	3944	many	Lamas	sukaman	mucho(s)!!!, harto	s u k a + m a n	sukaman, achka		only in Lamas	park1976	Quechua
731	a tʃ - k a	3940	many	Lamas	achka	mucho(s)!!!, harto	a tʃ k a	sukaman, achka		only in Lamas	park1976	Quechua
732	a tʃ - k a	3940	many	Laraos	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
733	a tʃ - k a	3940	many	Lincha-Tana	achka	mucho(s)!!!, harto	a tʃ k a	achka			shimelman2017	Quechua
735	a ʃ - kʰ a + s	3940	many	Maragua	aškha.s	mucho(s)!!!, harto	a ʃ kʰ a + s	aškha, aškha.s			heggarty2005	Quechua
736	a ʃ - k a	3940	many	Napo	ashca	mucho(s)!!!, harto	a ʃ k a	ashca			orrwrisley1981	Quechua
737	- i s i s i:	114	many	Pacaraos	isisii	mucho(s)!!!, harto	i s i s i:	isisii			adelaar1982	Quechua
738	a tʃ - k a	3940	many	Pastaza	achca	mucho(s)!!!, harto	a tʃ k a	achca			landerman1973	Quechua
739	- - j a p a	3943	many	Pastaza	yapa	mucho(s)!!!, harto	j a p a	yapa			landerman1973	Quechua
740	a ʃ - kʰ a	3940	many	Pocona	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha			heggarty2005	Quechua
741	w a l x a	3945	many	Puki	walxa	mucho(s)!!!, harto	w a l x a	walxa			heggarty2005	Aymara
742	a ʃ - kʰ a	3940	many	Puno	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha			heggarty2005	Quechua
743	a tʃ - k a	3940	many	Putumayo	achca	mucho(s)!!!, harto	a tʃ k a	achca			tandioy1978	Quechua
744	f e j u p a	112	many	Raimondi	feyupa	mucho(s)!!!, harto	f e j u p a	feyupa			parkerchavez1976	Quechua
745	a tʃ - k a	3940	many	SanPedro	achka	mucho(s)!!!, harto	a tʃ k a	achka			shimelman2017	Quechua
746	a tʃ - k a	3940	many	Santiagueno	achka	mucho(s)!!!, harto	a tʃ k a	achka			juanatey2021	Quechua
747	a tʃ i k a	3940	many	SantoTomas	achika	mucho(s)!!!, harto	a tʃ i k a	achika			santotomas1951	Quechua
748	a ʃ - k a	3940	many	Serena	aška	mucho(s)!!!, harto	a ʃ k a	aška			heggarty2005	Quechua
749	tʰ a n - qʰ a	115	many	Sullkatiti	thanqha	mucho(s)!!!, harto	tʰ a n qʰ a	thanqha			heggarty2005	Aymara
750	a ʃ - kʰ a	3940	many	Taquile	aškha	mucho(s)!!!, harto	a ʃ kʰ a	aškha			heggarty2005	Quechua
751	a tʃ - k a	3940	many	Tarma	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			adelaar1977	Quechua
752	a tʃ - k a	3940	many	Troje	ačka	mucho(s)!!!, harto	a tʃ k a	ačka			heggarty2005	Quechua
753	f e j u p a	112	many	Wari	feyupa	mucho(s)!!!, harto	f e j u p a	feyupa			parkerchavez1976	Quechua
754	a ts - k a	3940	many	Yanac	atska	mucho(s)!!!, harto	a ts k a	atska			heggarty2005	Quechua
7520	a tʃ - k a	3940	many	Azuay	achca	mucho(s)!!!, harto	a tʃ k a	achca				
7646	a tʃ - k a	3940	many	Jauja	achka		a tʃ k a	achka				
#
6601	ai tʃ a	3999	meat SW flesh	Anonimo	aycha	carne	ai tʃ a	aycha			valera1586	Quechua
6602	ai tʃ a	3999	meat SW flesh	Apuri	aycha	carne	ai tʃ a	aycha			shimelman2017	Quechua
6604	ai tʃ a	3999	meat SW flesh	Apurimac	aycha	carne	ai tʃ a	aycha			camacho2007	Quechua
6605	ai tʃ a	3999	meat SW flesh	Arma	aycha	carne	ai tʃ a	aycha			galvez2003	Quechua
6606	ai tʃ a	3999	meat SW flesh	Atalla	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6607	ai tʃ a	3999	meat SW flesh	Ayacucho	aycha	carne	ai tʃ a	aycha			soto1976	Quechua
6608	ai tʃ a	3999	meat SW flesh	Bobonaza	aicha	carne	ai tʃ a	aicha			orrwrisley1981	Quechua
6609	ai tʃ a	3999	meat SW flesh	Cacra-Hongos	aycha	carne	ai tʃ a	aycha			shimelman2017	Quechua
6611	ai tʃ a	3999	meat SW flesh	Chachapoyas	aycha	carne	ai tʃ a	aycha			taylor2006	Quechua
6612	eː ts a	3999	meat SW flesh	Chacpar	e:tsa	carne	eː ts a	e:tsa			heggarty2005	Quechua
6613	ai tʃ a	3999	meat SW flesh	Chetilla	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6614	tʃ h i ʃ w i	4000	meat SW flesh	Chipaya	chhishwi	carne	tʃ h i ʃ w i	chhishwi			heggarty2005	Uru-Chipaya
6615	ai tʃ a	3999	meat SW flesh	Curva	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6616	ai tʃ a	3999	meat SW flesh	Cuzco	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6617	ai tʃ a	3999	meat SW flesh	CuzquenoAntiguo	aycha	carne	ai tʃ a	aycha			holguin1608	Quechua
6618	ai tʃ a	3999	meat SW flesh	Huallaga	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6619	ai tʃ a	3999	meat SW flesh	Huanca	aycha	carne	ai tʃ a	aycha				Quechua
6621	ai tʃ a	3999	meat SW flesh	Huancane	ayča	carne	ai tʃ a	ayča			heggarty2005	Aymara
6622	ai tʃ a	3999	meat SW flesh	Huangascar	aycha	carne	ai tʃ a	aycha			shimelman2017	Quechua
6623	ai ts a	3999	meat SW flesh	HuarazHuailas	aytsa	carne	ai ts a	aytsa			parkerchavez1976	Quechua
6624	ai tʃ a	3999	meat SW flesh	Imbabura	aycha	carne	ai tʃ a	aycha			gomez2009	Quechua
6625	ai tʃ a	3999	meat SW flesh	Inkawasi	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6626	h i l j - i	4002	meat SW flesh	Iruhito	hílyi	carne	h i l j i	hílyi			cerron2016	Uru-Chipaya
6627	h a n tʃ - i	4002	meat SW flesh	Jaqaru	hanči	carne	h a n tʃ i	hanči			heggarty2005	Aymara
6628	h a n tʃ - i	4002	meat SW flesh	Kawki	hanči	carne	h a n tʃ i	hanči			heggarty2005	Aymara
6629	ai tʃ a	3999	meat SW flesh	Lamas	aycha	carne	ai tʃ a	aycha			taylor2006	Quechua
6630	ai tʃ a	3999	meat SW flesh	Laraos	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6631	ai tʃ a	3999	meat SW flesh	Lincha-Tana	aycha	carne	ai tʃ a	aycha			shimelman2017	Quechua
6633	ai tʃ a	3999	meat SW flesh	Maragua	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6634	ai tʃ a	3999	meat SW flesh	Napo	aicha	carne	ai tʃ a	aicha			orrwrisley1981	Quechua
6635	ai s a	3999	meat SW flesh	Pacaraos	aysa	carne	ai s a	aysa			adelaar1982	Quechua
6636	ai tʃ a	3999	meat SW flesh	Pastaza	aycha	carne	ai tʃ a	aycha			landerman1973	Quechua
6637	ai tʃ a	3999	meat SW flesh	Pocona	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6638	ai tʃ a	3999	meat SW flesh	Puki	ayča	carne	ai tʃ a	ayča			heggarty2005	Aymara
6639	ai tʃ a	3999	meat SW flesh	Puno	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6640	ai tʃ a	3999	meat SW flesh	Putumayo	aycha	carne	ai tʃ a	aycha			tandioy1978	Quechua
6641	ai ts a	3999	meat SW flesh	Raimondi	aytsa	carne	ai ts a	aytsa			parkerchavez1976	Quechua
6642	ai tʃ a	3999	meat SW flesh	SanPedro	aycha	carne	ai tʃ a	aycha			shimelman2017	Quechua
6644	ai tʃ a	3999	meat SW flesh	Santiagueno	aycha	carne	ai tʃ a	aycha			juanatey2021	Quechua
6645	ai tʃ a	3999	meat SW flesh	SantoTomas	aycha	carne	ai tʃ a	aycha			santotomas1951	Quechua
6646	ai tʃ a	3999	meat SW flesh	Serena	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6647	ai tʃ a	3999	meat SW flesh	Sullkatiti	ayča	carne	ai tʃ a	ayča			heggarty2005	Aymara
6648	ai tʃ a	3999	meat SW flesh	Taquile	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
6649	ai tʃ a	3999	meat SW flesh	Tarma	ayča	carne	ai tʃ a	ayča				Quechua
6650	ai tʃ a	3999	meat SW flesh	Troje	ayča	carne	ai tʃ a	ayča			heggarty2005	Quechua
