DOCULECT	FORM	SOURCE
Ayacucho	qallu	soto1976
Bobonaza	callu	orrwrisley1981
Cacra-Hongos	qallu	shimelman2017
Chachapoyas	kallu	taylor2006
Chacpar	qaλu	heggarty2005
Chetilla	qadyu	heggarty2005
Chipaya	laz	heggarty2005
Curva	qaλu	heggarty2005
Cuzco	qaλu	heggarty2005
CuzquenoAntiguo	kallu	holguin1608
Huallaga	qaλu	heggarty2005
Huanca	allu, hallu	cerron2018
Huancane	laχra	heggarty2005
Huangascar	qallu	shimelman2017
HuarazHuailas	qallu	parkerchavez1976
Imbabura	jallu	gomez2009
Inkawasi	qadžu, χadžu	heggarty2005
Iruhito	nás	cerron2016
Jaqaru	naxra	heggarty2005
Kawki	nixra	heggarty2005
Lamas	kallu	taylor2006
Laraos	qaλu	heggarty2005
Lincha-Tana	qallu	shimelman2017
Maragua	qaλu	heggarty2005
Napo	callu	orrwrisley1981
Pacaraos	qallu, qalu	adelaar1982
Pastaza	callu	landerman1973
Pocona	ġaλu	heggarty2005
Puki	laχra	heggarty2005
Puno	qaλu	heggarty2005
Putumayo	callu	tandioy1978
Raimondi	qallu	parkerchavez1976
SanPedro	qallu	shimelman2017
SanPedro	shimi	shimelman2017
Santiagueno	qallu	juanatey2021
SantoTomas	ximi, ʃsimi	santotomas1951
Serena	kaλu	heggarty2005
Sullkatiti	laχra	heggarty2005
Taquile	qaλu	heggarty2005
Tarma	xal̃u	adelaar1977
Troje	khažu	heggarty2005
Tsimu	lá:χla	cerron2016
Wari	qallu	parkerchavez1976
Yanac	qaλu	heggarty2005
Anonimo	quiru	valera1586
Apuri	kiru	shimelman2017
Apurimac	kiru	camacho2007
Arma	kiru	galvez2003
Atalla	kiru	heggarty2005
Ayacucho	kiru	soto1976
Bobonaza	quiru	orrwrisley1981
Cacra-Hongos	kiru	shimelman2017
Chachapoyas	kiru	taylor2006
Chacpar	kiru	heggarty2005
Chetilla	kiru	heggarty2005
Chipaya	izhqi	heggarty2005
Curva	kiru	heggarty2005
Cuzco	kiru	heggarty2005
CuzquenoAntiguo	quiru	holguin1608
Huallaga	kiru	heggarty2005
Huanca	kilu	cerron2018
Huancane	laka	heggarty2005
Huangascar	kiru	shimelman2017
HuarazHuailas	kiru	parkerchavez1976
Imbabura	kiru	gomez2009
Inkawasi	kiru	heggarty2005
Iruhito	í:sʰki	cerron2016
Jaqaru	šimi	heggarty2005
Kawki	šimi	heggarty2005
Lamas	kiru	taylor2006
Laraos	kiru	heggarty2005
Lincha-Tana	kiru	shimelman2017
Maragua	kiru	heggarty2005
Napo	quiru	orrwrisley1981
Pacaraos	kiru	adelaar1982
Pastaza	quiru	landerman1973
Pocona	kiru	heggarty2005
Puki	laka	heggarty2005
Puno	kiru	heggarty2005
Putumayo	quiru	tandioy1978
Raimondi	kiru	parkerchavez1976
SanPedro	kiru	shimelman2017
Santiagueno	kiru	juanatey2021
SantoTomas	quero	santotomas1951
Serena	kiru	heggarty2005
Sullkatiti	laka	heggarty2005
Taquile	kiru	heggarty2005
Tarma	kiru	adelaar1977
Troje	kiru	heggarty2005
Tsimu	í:ske:	cerron2016
Wari	kiru	parkerchavez1976
Yanac	kiru	heggarty2005
Anonimo	maqui	valera1586
Apuri	maki	shimelman2017
Apurimac	maki	camacho2007
Arma	maki	galvez2003
Atalla	maki	heggarty2005
Ayacucho	maki	soto1976
Bobonaza	maqui	orrwrisley1981
Cacra-Hongos	maki	shimelman2017
Chachapoyas	maki	taylor2006
Chacpar	maki	heggarty2005
Chetilla	maki	heggarty2005
Chipaya	qhara	heggarty2005
Curva	maki	heggarty2005
Cuzco	maki	heggarty2005
CuzquenoAntiguo	maqui	holguin1608
Huallaga	maki	heggarty2005
Huanca	maki	cerron2018
Huancane	ampara	heggarty2005
Huangascar	maki	shimelman2017
HuarazHuailas	maki	parkerchavez1976
Imbabura	maki	gomez2009
Inkawasi	maki	heggarty2005
Iruhito	k’á:r̂a	cerron2016
Jaqaru	ampara	heggarty2005
Kawki	ampara	heggarty2005
Lamas	maki	taylor2006
Laraos	maki	heggarty2005
Lincha-Tana	maki	shimelman2017
Maragua	maki	heggarty2005
Napo	maqui	orrwrisley1981
Pacaraos	maki	adelaar1982
Pastaza	maqui	landerman1973
Pocona	maki	heggarty2005
Puki	ampara	heggarty2005
Puno	maki	heggarty2005
Putumayo	maqui	tandioy1978
Raimondi	maki	parkerchavez1976
SanPedro	maki	shimelman2017
Santiagueno	maki	juanatey2021
SantoTomas	maqui	santotomas1951
Serena	maki	heggarty2005
Sullkatiti	ampara	heggarty2005
Taquile	maki	heggarty2005
Tarma	magi	adelaar1977
Troje	maki	heggarty2005
Tsimu	k’á:r̂a	cerron2016
Wari	maki	parkerchavez1976
Yanac	maki	heggarty2005
Anonimo	cuchuch	valera1586
Apuri	kutrush	shimelman2017
Apurimac	kukuchi, kukuchiu	camacho2007
Arma	kuchus	galvez2003
Atalla	kuču.s	heggarty2005
Ayacucho	kuchus	soto1976
Bobonaza	rigra mucu	orrwrisley1981
Cacra-Hongos	kutrush	shimelman2017
Chachapoyas	kuĉush	taylor2006
Chacpar	kuku.š	heggarty2005
Chetilla	kuku.ĉi	heggarty2005
Chipaya	khuts(a)	heggarty2005
Curva	muχλi	heggarty2005
Cuzco	kuku.ču	heggarty2005
CuzquenoAntiguo	cuchuch	holguin1608
Huallaga	kuku.š	heggarty2005
Huanca	kutrjuŝ	cerron2018
Huancane	muxλi	heggarty2005
Huangascar	kutrush	shimelman2017
HuarazHuailas	kukush	parkerchavez1976
Imbabura	rigra muku	gomez2009
Inkawasi	kuk(u).ĉi	heggarty2005
Iruhito	kútsʰi	cerron2016
Jaqaru	šinkay.pi	heggarty2005
Kawki	šunkay.pi	heggarty2005
Lamas	kuĉush	taylor2006
Laraos	kuĉu.š	heggarty2005
Lincha-Tana	kutrush	shimelman2017
Maragua	maki muqu	heggarty2005
Napo	rigra	orrwrisley1981
Pacaraos	kutrush	adelaar1982
Pastaza	muicu	landerman1973
Pocona	maki muγu	heggarty2005
Puki	muχλi	heggarty2005
Puno	muqu	heggarty2005
Putumayo	coneja, ñudu	tandioy1978
Raimondi		parkerchavez1976
SanPedro	kutrush	shimelman2017
Santiagueno	moqo	juanatey2021
SantoTomas	cuchuhx	santotomas1951
Serena	maki muku	heggarty2005
Sullkatiti	muxλi	heggarty2005
Taquile	muqi.ti	heggarty2005
Tarma	kuĉuš	adelaar1977
Troje	uyun	heggarty2005
Tsimu	kútsʰi	cerron2016
Wari	kukush	parkerchavez1976
Yanac	kuku.ĉi	heggarty2005
Anonimo	cunca	valera1586
Apuri	kunka	shimelman2017
Apurimac	kunka	camacho2007
Arma	kunka	galvez2003
Atalla	kunka	heggarty2005
Ayacucho	kunka	soto1976
Bobonaza	cunga	orrwrisley1981
Cacra-Hongos	kunka	shimelman2017
Chachapoyas	kunka	taylor2006
Chacpar	kunka	heggarty2005
Chetilla	kunga	heggarty2005
Chipaya	qwazi, qazi	heggarty2005
Curva	kunka	heggarty2005
Cuzco	kunka	heggarty2005
CuzquenoAntiguo	cunca	holguin1608
Huallaga	kunka	heggarty2005
Huanca	kunka	cerron2018
Huancane	kunka	heggarty2005
Huangascar	kunka	shimelman2017
HuarazHuailas	kunka	parkerchavez1976
Imbabura	kunga	gomez2009
Inkawasi	kunga	heggarty2005
Iruhito		cerron2016
Jaqaru	kunka	heggarty2005
Kawki	kunka	heggarty2005
Lamas	kunka	taylor2006
Laraos	kunka	heggarty2005
Lincha-Tana	kunka	shimelman2017
Maragua	kunka	heggarty2005
Napo	cunga	orrwrisley1981
Pacaraos	kunka	adelaar1982
Pastaza	cunga	landerman1973
Pocona	kunka	heggarty2005
Puki	kunka	heggarty2005
Puno	kunka	heggarty2005
Putumayo	cunga	tandioy1978
Raimondi	kunka	parkerchavez1976
SanPedro	kunka	shimelman2017
Santiagueno	kunka	juanatey2021
SantoTomas	conga	santotomas1951
Serena	kunga	heggarty2005
Sullkatiti	kunka	heggarty2005
Taquile	kunka	heggarty2005
Tarma	kun̊ka	adelaar1977
Troje	kunga	heggarty2005
Tsimu		cerron2016
Wari	kunka	parkerchavez1976
Yanac	kunka	heggarty2005
Anonimo	huaʃʃa	valera1586
Apuri	washa	shimelman2017
Apurimac	wasa	camacho2007
Arma		galvez2003
Atalla	wasa	heggarty2005
Ayacucho	wasa	soto1976
Bobonaza	huasha	orrwrisley1981
Cacra-Hongos	washa	shimelman2017
Chachapoyas	washa	taylor2006
Chacpar	waxta	heggarty2005
Chetilla	waxta	heggarty2005
Chipaya	taj(a)	heggarty2005
Curva	wasa	heggarty2005
Cuzco	wasa	heggarty2005
CuzquenoAntiguo	huassa	holguin1608
Huallaga	waχta	heggarty2005
Huanca	waŝa	cerron2018
Huancane	hikhani	heggarty2005
Huangascar	washa	shimelman2017
HuarazHuailas	waqta	parkerchavez1976
Imbabura	washa	gomez2009
Inkawasi	waχta	heggarty2005
Iruhito	tó:ta	cerron2016
Jaqaru	sa:ma	heggarty2005
Kawki	sama	heggarty2005
Lamas	washa	taylor2006
Laraos	waša	heggarty2005
Lincha-Tana	washa	shimelman2017
Maragua	wasa	heggarty2005
Napo	huasha	orrwrisley1981
Pacaraos	washa	adelaar1982
Pastaza	washa	landerman1973
Pocona	wasa	heggarty2005
Puki	hikhana	heggarty2005
Puno	wasa	heggarty2005
Putumayo	huasa	tandioy1978
Raimondi	waqta	parkerchavez1976
SanPedro	washa	shimelman2017
Santiagueno	wasa	juanatey2021
SantoTomas	guacta	santotomas1951
Serena	waša	heggarty2005
Sullkatiti	hikhani	heggarty2005
Taquile	wasa	heggarty2005
Tarma	waša	adelaar1977
Troje	waša	heggarty2005
Tsimu	thó:thá	cerron2016
Wari	waqta	parkerchavez1976
Yanac	waqta, waχta	heggarty2005
Anonimo	chaqui	valera1586
Apuri	traki	shimelman2017
Apurimac	chaki	camacho2007
Apurimac	ataka	camacho2007
Arma	chaki	galvez2003
Atalla	čaki	heggarty2005
Ayacucho	chaki	soto1976
Bobonaza	chaqui	orrwrisley1981
Cacra-Hongos	traki	shimelman2017
Chachapoyas	ĉaki	taylor2006
Chacpar	čaki	heggarty2005
Chetilla	ĉaki	heggarty2005
Chipaya	qhocha	heggarty2005
Curva	čaki	heggarty2005
Cuzco	čaki	heggarty2005
CuzquenoAntiguo	chaqui	holguin1608
Huallaga	čaki	heggarty2005
Huanca	traki	cerron2018
Huanca	wiʃtu	cerron2018
Huancane	kayu, kayu pampa	heggarty2005
Huangascar	traki	shimelman2017
HuarazHuailas	chaki	parkerchavez1976
Imbabura	chaki	gomez2009
Inkawasi	ĉaki	heggarty2005
Iruhito	kó:tsu:, qhḁ́tša	cerron2016
Jaqaru	kayu	heggarty2005
Kawki	kayu	heggarty2005
Lamas	chaki	taylor2006
Laraos	ĉaki	heggarty2005
Lincha-Tana	traki	shimelman2017
Maragua	čaki	heggarty2005
Napo	chaqui	orrwrisley1981
Pacaraos	traki	adelaar1982
Pastaza	chaqui	landerman1973
Pocona	čaki	heggarty2005
Puki	kayu	heggarty2005
Puno	čaki	heggarty2005
Putumayo	chaqui	tandioy1978
Raimondi	chaki	parkerchavez1976
SanPedro	traki	shimelman2017
Santiagueno	chaki	juanatey2021
SantoTomas	chacqui	santotomas1951
Serena	čaki	heggarty2005
Sullkatiti	kayu	heggarty2005
Taquile	čaki	heggarty2005
Tarma	ĉagi	adelaar1977
Troje	čaki	heggarty2005
Tsimu	kó:tyu, kó:tχu	cerron2016
Wari	chaki	parkerchavez1976
Yanac	ĉaki	heggarty2005
Anonimo	chanca	valera1586
Apuri	traki	shimelman2017
Apurimac	chanka	camacho2007
Arma	chanka	galvez2003
Atalla	perna	heggarty2005
Ayacucho	chanka	soto1976
Bobonaza	changa	orrwrisley1981
Cacra-Hongos	traki	shimelman2017
Chachapoyas	ĉanka	taylor2006
Chacpar	čanka	heggarty2005
Chetilla	ĉanga	heggarty2005
Chipaya	lis	heggarty2005
Curva	čaki	heggarty2005
Cuzco	čaka	heggarty2005
CuzquenoAntiguo	chanca	holguin1608
Huallaga	čanka	heggarty2005
Huanca	katrpa	cerron2018
Huanca	tranka	cerron2018
Huancane	kayu	heggarty2005
Huangascar	traki	shimelman2017
HuarazHuailas	chanka	parkerchavez1976
Imbabura	changa	gomez2009
Inkawasi	ĉanga	heggarty2005
Iruhito	líshlá-tsaptsapts	cerron2016
Jaqaru	kayu	heggarty2005
Kawki	kayu	heggarty2005
Lamas	chanka	taylor2006
Laraos	ĉanka	heggarty2005
Lincha-Tana	traki	shimelman2017
Maragua	čaki	heggarty2005
Napo	changa	orrwrisley1981
Pacaraos	tranka	adelaar1982
Pastaza	changa	landerman1973
Pocona	čaki	heggarty2005
Puki	čara	heggarty2005
Puno	čaki	heggarty2005
Putumayo	changa	tandioy1978
Raimondi	chanka	parkerchavez1976
SanPedro	traki	shimelman2017
Santiagueno	chunka	juanatey2021
SantoTomas	chacqui	santotomas1951
Serena	čanga	heggarty2005
Sullkatiti	čara	heggarty2005
Taquile	čaki	heggarty2005
Tarma	ĉan̊ka	adelaar1977
Troje	čanga	heggarty2005
Tsimu	tsá:r̂a	cerron2016
Wari	chanka	parkerchavez1976
Yanac	ĉanka	heggarty2005
Anonimo	concor	valera1586
Apuri	muqu	shimelman2017
Apuri	qunqur	shimelman2017
Apurimac	moqo	camacho2007
Arma	muqu	galvez2003
Atalla	muχu	heggarty2005
Ayacucho	moqo	soto1976
Bobonaza	cunguri	orrwrisley1981
Cacra-Hongos	qunqur	shimelman2017
Chachapoyas	kunkuri	taylor2006
Chacpar	qunγu	heggarty2005
Chetilla	qunguri	heggarty2005
Chipaya	owa	heggarty2005
Curva	qunqur	heggarty2005
Cuzco	muqu	heggarty2005
CuzquenoAntiguo	concor, musu	holguin1608
Huallaga	qunqur	heggarty2005
Huanca	hunʔul, unʔul	cerron2018
Huanca	muʔu	cerron2018
Huancane	qunquri	heggarty2005
Huangascar	muqu	shimelman2017
Huangascar	qunqur	shimelman2017
HuarazHuailas	qonqor	parkerchavez1976
Imbabura	kunguri	gomez2009
Inkawasi	qunġuri	heggarty2005
Iruhito		cerron2016
Jaqaru	qunquru	heggarty2005
Kawki	qunquru	heggarty2005
Lamas	kunkuri	taylor2006
Laraos	qunqur	heggarty2005
Lincha-Tana	qunqur	shimelman2017
Maragua	muqu	heggarty2005
Napo	cunguri	orrwrisley1981
Pacaraos	qunqur	adelaar1982
Pastaza	cunguri	landerman1973
Pocona	čaki muγu	heggarty2005
Puki	qunquri	heggarty2005
Puno	qunquri	heggarty2005
Putumayo	cungur	tandioy1978
Raimondi	qonqor	parkerchavez1976
SanPedro	muqu	shimelman2017
SanPedro	qunqur	shimelman2017
Santiagueno	qonqori	juanatey2021
SantoTomas	congori	santotomas1951
Serena	kunguri muku	heggarty2005
Sullkatiti	qunquri	heggarty2005
Taquile	qunqur	heggarty2005
Tarma	xun̊xur	adelaar1977
Troje	sampi	heggarty2005
Tsimu		cerron2016
Wari	qonqor	parkerchavez1976
Yanac	qunquri	heggarty2005
Anonimo	yahuar	valera1586
Apuri	yawar	shimelman2017
Apurimac	yawar	camacho2007
Arma	yawar	galvez2003
Atalla	yawar	heggarty2005
Ayacucho	yawar	soto1976
Bobonaza	rahuai	orrwrisley1981
Cacra-Hongos	yawar	shimelman2017
Chachapoyas	yawar	taylor2006
Chacpar	yawaŕ	heggarty2005
Chetilla	yawar	heggarty2005
Chipaya	ljok	heggarty2005
Curva	λawar	heggarty2005
Cuzco	yawar	heggarty2005
CuzquenoAntiguo	yahuar	holguin1608
Huallaga	yawar	heggarty2005
Huanca	yawar	cerron2018
Huancane	wila	heggarty2005
Huangascar	yawar	shimelman2017
HuarazHuailas	yawar	parkerchavez1976
Imbabura	yawar	gomez2009
Inkawasi	yawar	heggarty2005
Iruhito	lóki:, lóke:	cerron2016
Jaqaru	wila	heggarty2005
Kawki	wila	heggarty2005
Lamas	yawar	taylor2006
Laraos	yawar	heggarty2005
Lincha-Tana	yawar	shimelman2017
Maragua	yawar	heggarty2005
Napo	rahuai	orrwrisley1981
Pacaraos	yawar	adelaar1982
Pastaza	yawar	landerman1973
Pocona	λawar	heggarty2005
Puki	wila	heggarty2005
Puno	yawar	heggarty2005
Putumayo	yahuar	tandioy1978
Raimondi	yawar	parkerchavez1976
SanPedro	yawar	shimelman2017
Santiagueno	yaar	juanatey2021
SantoTomas	yaguar	santotomas1951
Serena	yawaŕ	heggarty2005
Sullkatiti	wila	heggarty2005
Taquile	yawar	heggarty2005
Tarma	yawar	adelaar1977
Troje	yawař	heggarty2005
Tsimu	k’óñe, sá:kre	cerron2016
Wari	yawar	parkerchavez1976
Yanac	yawaŕ	heggarty2005
Anonimo	tahua	valera1586
Apuri	tawa	shimelman2017
Apurimac	tawa	camacho2007
Arma	tawa	galvez2003
Atalla	tawa	heggarty2005
Ayacucho	tawa	soto1976
Bobonaza	chuscu	orrwrisley1981
Cacra-Hongos	tawa	shimelman2017
Chachapoyas	chusku	taylor2006
Chacpar	čusku	heggarty2005
Chetilla	ĉusku	heggarty2005
Chipaya	paqpik	heggarty2005
Curva	tawa	heggarty2005
Cuzco	tawa	heggarty2005
CuzquenoAntiguo	tahua	holguin1608
Huallaga	čusku	heggarty2005
Huanca	trusku	cerron2018
Huanca	tawa	cerron2018
Huancane	pusi	heggarty2005
Huangascar	tawa	shimelman2017
HuarazHuailas	chusku	parkerchavez1976
Imbabura	chusku	gomez2009
Inkawasi	cuatro	heggarty2005
Iruhito	paχpí:k	cerron2016
Jaqaru	puši	heggarty2005
Kawki	puši	heggarty2005
Lamas	chusku	taylor2006
Laraos	tawa	heggarty2005
Lincha-Tana	tawa	shimelman2017
Maragua	tawa	heggarty2005
Napo	chuscu	orrwrisley1981
Pacaraos	trusku	adelaar1982
Pastaza	chuscu	landerman1973
Pocona	tawa	heggarty2005
Puki	pusi	heggarty2005
Puno	tawa	heggarty2005
Putumayo	chuscu	tandioy1978
Raimondi	chusku	parkerchavez1976
SanPedro	tawa	shimelman2017
Santiagueno	taa	juanatey2021
SantoTomas	tagua	santotomas1951
Serena	čusku	heggarty2005
Sullkatiti	pusi	heggarty2005
Taquile	tawa	heggarty2005
Tarma	ĉusgu	adelaar1977
Troje	čusku	heggarty2005
Tsimu	púχ	cerron2016
Wari	chusku	parkerchavez1976
Yanac	ĉusku	heggarty2005
Anonimo	tullu	valera1586
Apuri	tullu	shimelman2017
Apurimac	tullu	camacho2007
Arma		galvez2003
Atalla	tuλu	heggarty2005
Ayacucho	tullu	soto1976
Bobonaza	tullu	orrwrisley1981
Cacra-Hongos	tullu	shimelman2017
Chachapoyas	tullu	taylor2006
Chacpar	tuλu	heggarty2005
Chetilla	tudžu	heggarty2005
Chipaya	tsij	heggarty2005
Curva	tuλu	heggarty2005
Cuzco	tuλu	heggarty2005
CuzquenoAntiguo	tullu	holguin1608
Huallaga	tuλu	heggarty2005
Huanca	tullu	cerron2018
Huancane	č'akha	heggarty2005
Huangascar	tullu	shimelman2017
HuarazHuailas	tullu	parkerchavez1976
Imbabura	tullu	gomez2009
Inkawasi	tužu	heggarty2005
Iruhito	tsí̥χñe	cerron2016
Jaqaru	ts'a:ka	heggarty2005
Kawki	ts'a:ka	heggarty2005
Lamas	tullu	taylor2006
Laraos	tuλu	heggarty2005
Lincha-Tana	tullu	shimelman2017
Maragua	tuλu	heggarty2005
Napo	tullu	orrwrisley1981
Pacaraos	tulu	adelaar1982
Pastaza	tullu	landerman1973
Pocona	tuλu	heggarty2005
Puki	č'akha	heggarty2005
Puno	tuλu	heggarty2005
Putumayo	tullu	tandioy1978
Raimondi	tullu	parkerchavez1976
SanPedro	tullu	shimelman2017
Santiagueno	tullu	juanatey2021
SantoTomas	tullu	santotomas1996
Serena	tuλu	heggarty2005
Sullkatiti	č'akha	heggarty2005
Taquile	tuλu	heggarty2005
Tarma	tulu	adelaar1977
Troje	tužu	heggarty2005
Tsimu	síχe	cerron2016
Wari	tullu	parkerchavez1976
Yanac	tuλu	heggarty2005
Anonimo	cara	valera1586
Apuri	qara	shimelman2017
Apurimac	qara	camacho2007
Arma	qara	galvez2003
Atalla	χara	heggarty2005
Ayacucho	qara	soto1976
Bobonaza	cara	orrwrisley1981
Cacra-Hongos	qara	shimelman2017
Chachapoyas	kara	taylor2006
Chacpar	qara	heggarty2005
Chetilla	qara	heggarty2005
Chipaya	zqizi	heggarty2005
Curva	qara	heggarty2005
Cuzco	qara	heggarty2005
CuzquenoAntiguo	ccara	holguin1608
Huallaga	qara	heggarty2005
Huanca	uta	cerron2018
Huancane	hanči lip'iči	heggarty2005
Huangascar	qara	shimelman2017
HuarazHuailas	qara	parkerchavez1976
Imbabura	kara	gomez2009
Inkawasi	χara	heggarty2005
Iruhito		cerron2016
Jaqaru	qara	heggarty2005
Kawki	qara	heggarty2005
Lamas	kara	taylor2006
Laraos	qara	heggarty2005
Lincha-Tana	qara	shimelman2017
Maragua	qara	heggarty2005
Napo	cara	orrwrisley1981
Pacaraos	qara	adelaar1982
Pastaza	cara	landerman1973
Pocona	ġara	heggarty2005
Puki	hanči lip'iči	heggarty2005
Puno	qara	heggarty2005
Putumayo	cara	tandioy1978
Raimondi	qara	parkerchavez1976
SanPedro	qara	shimelman2017
Santiagueno	qara	juanatey2021
SantoTomas	cara	santotomas1951
Serena	kara	heggarty2005
Sullkatiti	hanči lip'iči	heggarty2005
Taquile	qara	heggarty2005
Tarma	xara	adelaar1977
Troje	kara	heggarty2005
Tsimu		cerron2016
Wari	qara	parkerchavez1976
Yanac	qara	heggarty2005
Anonimo	fillu	valera1586
Apuri	sillu	shimelman2017
Apurimac	sillu	camacho2007
Arma	sillu	galvez2003
Atalla	siλu	heggarty2005
Ayacucho	sillu	soto1976
Bobonaza	shillu	orrwrisley1981
Cacra-Hongos	sillu	shimelman2017
Chachapoyas	shillu	taylor2006
Chacpar	šiλu	heggarty2005
Chetilla	šidžu	heggarty2005
Chipaya	isñi	heggarty2005
Curva	siλu	heggarty2005
Cuzco	siλu	heggarty2005
CuzquenoAntiguo	sillu	holguin1608
Huallaga	šiλu	heggarty2005
Huanca	ʃillu	cerron2018
Huancane	siλu	heggarty2005
Huangascar	sillu	shimelman2017
HuarazHuailas	shillu	parkerchavez1976
Imbabura	sillu	gomez2009
Inkawasi	sižu	heggarty2005
Iruhito	sí:lyo	cerron2016
Jaqaru	šiλu	heggarty2005
Kawki	šiλu	heggarty2005
Lamas	shillu	taylor2006
Laraos	šiλu	heggarty2005
Lincha-Tana	sillu	shimelman2017
Maragua	siλu	heggarty2005
Napo	shillu	orrwrisley1981
Pacaraos	shilu	adelaar1982
Pastaza	shillu	landerman1973
Pocona	siλu	heggarty2005
Puki	siλu	heggarty2005
Puno	siλu	heggarty2005
Putumayo	sillu	tandioy1978
Raimondi	shillu	parkerchavez1976
SanPedro	sillu	shimelman2017
Santiagueno	sillu	juanatey2021
SantoTomas	ʃillo	santotomas1951
Serena	siλu	heggarty2005
Sullkatiti	siλu	heggarty2005
Taquile	siλu	heggarty2005
Tarma	šilu	adelaar1977
Troje	sižu	heggarty2005
Tsimu	sí:lyo	cerron2016
Wari	shillu	parkerchavez1976
Yanac	šiλu	heggarty2005
Anonimo	vicça	valera1586
Apuri	wiksa	shimelman2017
Apurimac	wiksa	camacho2007
Arma	wiksa	galvez2003
Atalla	wiksa	heggarty2005
Ayacucho	wiksa	soto1976
Bobonaza	huicsa	orrwrisley1981
Cacra-Hongos	wiksa	shimelman2017
Chachapoyas	wiksa	taylor2006
Chacpar	pača	heggarty2005
Chetilla	paĉa	heggarty2005
Chipaya	phuč	heggarty2005
Curva	wixsa, wisa	heggarty2005
Cuzco	wixsa	heggarty2005
CuzquenoAntiguo	vicça	holguin1608
Huallaga	pača	heggarty2005
Huanca	pata	cerron2018
Huancane	pura.ka	heggarty2005
Huangascar	wiksa	shimelman2017
HuarazHuailas	pacha	parkerchavez1976
Imbabura	wiksa	gomez2009
Inkawasi	paĉa	heggarty2005
Iruhito	tšé:r̂i, tóχsi	cerron2016
Jaqaru	phuĉa.ka	heggarty2005
Kawki	phuĉa.ka	heggarty2005
Lamas	wiksa	taylor2006
Laraos	wiksa	heggarty2005
Lincha-Tana	wiksa	shimelman2017
Maragua	wixsa	heggarty2005
Napo	huicsa	orrwrisley1981
Pacaraos	patra	adelaar1982
Pastaza	vicsa	landerman1973
Pocona	wisa	heggarty2005
Puki	pura.ka	heggarty2005
Puno	wiksa	heggarty2005
Putumayo	huigsa	tandioy1978
Raimondi	pacha	parkerchavez1976
SanPedro	wiksa	shimelman2017
Santiagueno	wiksa	juanatey2021
SantoTomas	vicça	santotomas1951
Serena	iksa	heggarty2005
Sullkatiti	pura.ka	heggarty2005
Taquile	wisa	heggarty2005
Tarma	paĉa	adelaar1977
Troje	wixsa	heggarty2005
Tsimu	tší:r̂i, tóχsi	cerron2016
Wari	pacha	parkerchavez1976
Yanac	paĉa	heggarty2005
Anonimo	pupu	valera1586
Apuri	pupu	shimelman2017
Apurimac	pupu	camacho2007
Arma	pupu	galvez2003
Atalla	pupu	heggarty2005
Ayacucho	pupu	soto1976
Bobonaza	pupu	orrwrisley1981
Cacra-Hongos	pupu	shimelman2017
Chachapoyas	pupu	taylor2006
Chacpar	pupu	heggarty2005
Chetilla	mundžu	heggarty2005
Chipaya	toñi	heggarty2005
Curva	kururu	heggarty2005
Cuzco	pupu	heggarty2005
CuzquenoAntiguo	pupu	holguin1608
Huallaga	pupu	heggarty2005
Huanca	pupu	cerron2018
Huancane	kururu	heggarty2005
Huangascar	pupu	shimelman2017
HuarazHuailas	pupu	parkerchavez1976
Imbabura	pupu	gomez2009
Inkawasi	mundžu	heggarty2005
Iruhito	paeta	cerron2016
Jaqaru	kururu	heggarty2005
Kawki	kururu	heggarty2005
Lamas	pupu	taylor2006
Laraos	pupu	heggarty2005
Lincha-Tana	pupu	shimelman2017
Maragua	pupu	heggarty2005
Napo	pupu	orrwrisley1981
Pacaraos	pupu	adelaar1982
Pastaza	pupu	landerman1973
Pocona	pupu	heggarty2005
Puki	kururu	heggarty2005
Puno	kururu	heggarty2005
Putumayo	pupu	tandioy1978
Raimondi	pupu	parkerchavez1976
SanPedro	pupu	shimelman2017
Santiagueno	pupu	juanatey2021
SantoTomas	pupunc	santotomas1951
Serena	pupu	heggarty2005
Sullkatiti	kururu	heggarty2005
Taquile	kululu	heggarty2005
Tarma	pupu	adelaar1977
Troje	pupu	heggarty2005
Tsimu	pupúte	cerron2016
Wari	pupu	parkerchavez1976
Yanac	pupu	heggarty2005
Anonimo	quinchuy	valera1586
Apuri	chichi	shimelman2017
Apuri	ñuñu	shimelman2017
Apurimac	oqllay	camacho2007
Arma	ñuñu, chichi	galvez2003
Atalla	ñuñu	heggarty2005
Ayacucho	ñuñu	soto1976
Bobonaza	chuchu	orrwrisley1981
Cacra-Hongos	chichi	shimelman2017
Cacra-Hongos	ñuñu	shimelman2017
Chachapoyas	chuchu,  ñuñu	taylor2006
Chacpar	čuču	heggarty2005
Chetilla	čuču	heggarty2005
Chipaya	ch'añaka, piz	heggarty2005
Curva	ñuñu	heggarty2005
Cuzco	ñuñu	heggarty2005
CuzquenoAntiguo	quinchuy	holguin1608
Huallaga	čuču, čiči	heggarty2005
Huanca	pata	cerron2018
Huanca	ñuñu	cerron2018
Huanca	tʃitʃi	cerron2018
Huancane	ñuñu	heggarty2005
Huangascar	chichi	shimelman2017
Huangascar	ñuñu	shimelman2017
HuarazHuailas	ñuñu	parkerchavez1976
Imbabura	chuchu	gomez2009
Inkawasi	ñuñu	heggarty2005
Iruhito		cerron2016
Jaqaru	ñuñu	heggarty2005
Kawki	ñuñu	heggarty2005
Lamas	chuchu,  ñuñu	taylor2006
Laraos	ñuñu	heggarty2005
